rotation,row,col,cell,stagegrid,newtime
audience,1,-1,-1,offstage,0
audience,1,-1,-1,offstage,16
audience,1,-1,-1,offstage,32
audience,1,-1,-1,offstage,48
audience,1,-1,-1,offstage,64
audience,1,-1,-1,offstage,80
audience,1,-1,-1,offstage,96
audience,1,-1,-1,offstage,112
audience,1,-1,-1,offstage,128
audience,1,-1,-1,offstage,144
audience,1,-1,-1,offstage,160
audience,1,-1,-1,offstage,176
audience,1,-1,-1,offstage,192
audience,1,-1,-1,offstage,208
audience,1,-1,-1,offstage,224
audience,1,-1,-1,offstage,240
audience,1,-1,-1,offstage,256
audience,1,-1,-1,offstage,272
audience,1,-1,-1,offstage,288
audience,1,-1,-1,offstage,304
audience,1,-1,-1,offstage,321
audience,1,-1,-1,offstage,336
audience,1,-1,-1,offstage,352
audience,1,-1,-1,offstage,368
audience,1,-1,-1,offstage,384
audience,1,-1,-1,offstage,400
audience,1,-1,-1,offstage,416
audience,1,-1,-1,offstage,432
audience,1,-1,-1,offstage,448
audience,1,-1,-1,offstage,464
audience,1,-1,-1,offstage,480
audience,1,-1,-1,offstage,496
audience,1,-1,-1,offstage,512
audience,1,-1,-1,offstage,528
audience,1,-1,-1,offstage,544
audience,1,-1,-1,offstage,560
audience,1,-1,-1,offstage,576
audience,1,-1,-1,offstage,592
audience,1,-1,-1,offstage,608
audience,1,-1,-1,offstage,624
audience,1,-1,-1,offstage,640
audience,1,-1,-1,offstage,656
audience,1,-1,-1,offstage,672
audience,1,-1,-1,offstage,688
audience,1,-1,-1,offstage,704
audience,1,-1,-1,offstage,720
audience,1,-1,-1,offstage,736
audience,1,-1,-1,offstage,752
audience,1,-1,-1,offstage,768
audience,1,-1,-1,offstage,784
audience,1,-1,-1,offstage,800
audience,1,-1,-1,offstage,816
audience,1,-1,-1,offstage,832
audience,1,-1,-1,offstage,848
audience,1,-1,-1,offstage,864
audience,1,-1,-1,offstage,880
audience,1,-1,-1,offstage,896
audience,1,-1,-1,offstage,912
audience,1,-1,-1,offstage,928
audience,1,-1,-1,offstage,944
audience,1,-1,-1,offstage,960
audience,1,-1,-1,offstage,976
audience,1,-1,-1,offstage,992
audience,1,-1,-1,offstage,1008
audience,1,-1,-1,offstage,1024
audience,1,-1,-1,offstage,1040
audience,1,-1,-1,offstage,1056
audience,1,-1,-1,offstage,1072
audience,1,-1,-1,offstage,1088
audience,1,-1,-1,offstage,1104
audience,1,-1,-1,offstage,1120
audience,1,-1,-1,offstage,1136
audience,1,-1,-1,offstage,1152
audience,1,-1,-1,offstage,1168
audience,1,-1,-1,offstage,1184
audience,1,-1,-1,offstage,1200
audience,1,-1,-1,offstage,1216
audience,1,-1,-1,offstage,1232
audience,1,-1,-1,offstage,1248
audience,1,-1,-1,offstage,1264
audience,1,-1,-1,offstage,1280
audience,1,-1,-1,offstage,1296
audience,1,-1,-1,offstage,1312
audience,1,-1,-1,offstage,1328
audience,1,-1,-1,offstage,1344
audience,1,-1,-1,offstage,1360
audience,1,-1,-1,offstage,1376
audience,1,-1,-1,offstage,1392
audience,1,-1,-1,offstage,1408
audience,1,-1,-1,offstage,1424
audience,1,-1,-1,offstage,1440
audience,1,-1,-1,offstage,1456
audience,1,-1,-1,offstage,1472
audience,1,-1,-1,offstage,1488
audience,1,-1,-1,offstage,1504
audience,1,-1,-1,offstage,1520
audience,1,-1,-1,offstage,1536
audience,1,-1,-1,offstage,1552
audience,1,-1,-1,offstage,1568
audience,1,-1,-1,offstage,1584
audience,1,-1,-1,offstage,1600
audience,1,-1,-1,offstage,1616
audience,1,-1,-1,offstage,1632
audience,1,-1,-1,offstage,1648
audience,1,-1,-1,offstage,1664
audience,1,-1,-1,offstage,1680
audience,1,-1,-1,offstage,1696
audience,1,-1,-1,offstage,1712
audience,1,-1,-1,offstage,1728
audience,1,-1,-1,offstage,1744
audience,1,-1,-1,offstage,1760
audience,1,-1,-1,offstage,1776
audience,1,-1,-1,offstage,1792
audience,1,-1,-1,offstage,1808
audience,1,-1,-1,offstage,1824
audience,1,-1,-1,offstage,1840
audience,1,-1,-1,offstage,1856
audience,1,-1,-1,offstage,1872
audience,1,-1,-1,offstage,1888
audience,1,-1,-1,offstage,1904
audience,1,-1,-1,offstage,1920
audience,1,-1,-1,offstage,1936
audience,1,-1,-1,offstage,1952
audience,1,-1,-1,offstage,1968
audience,1,-1,-1,offstage,1984
audience,1,-1,-1,offstage,2000
audience,1,-1,-1,offstage,2016
audience,1,-1,-1,offstage,2032
audience,1,-1,-1,offstage,2048
audience,1,-1,-1,offstage,2064
audience,1,-1,-1,offstage,2080
audience,1,-1,-1,offstage,2096
audience,1,-1,-1,offstage,2112
audience,1,-1,-1,offstage,2128
audience,1,-1,-1,offstage,2144
audience,1,-1,-1,offstage,2160
audience,1,-1,-1,offstage,2176
audience,1,-1,-1,offstage,2192
audience,1,-1,-1,offstage,2208
audience,1,-1,-1,offstage,2224
audience,1,-1,-1,offstage,2240
audience,1,-1,-1,offstage,2256
audience,1,-1,-1,offstage,2272
audience,1,-1,-1,offstage,2288
audience,1,-1,-1,offstage,2304
audience,1,-1,-1,offstage,2320
audience,1,-1,-1,offstage,2336
audience,1,-1,-1,offstage,2352
audience,1,-1,-1,offstage,2368
audience,1,-1,-1,offstage,2386
audience,1,-1,-1,offstage,2400
audience,1,-1,-1,offstage,2416
audience,1,-1,-1,offstage,2432
audience,1,-1,-1,offstage,2448
audience,1,-1,-1,offstage,2464
audience,1,-1,-1,offstage,2480
audience,1,-1,-1,offstage,2496
audience,1,-1,-1,offstage,2512
audience,1,-1,-1,offstage,2528
audience,1,-1,-1,offstage,2544
audience,1,-1,-1,offstage,2560
audience,1,-1,-1,offstage,2576
audience,1,-1,-1,offstage,2592
audience,1,-1,-1,offstage,2608
audience,1,-1,-1,offstage,2624
audience,1,-1,-1,offstage,2640
audience,1,-1,-1,offstage,2656
audience,1,-1,-1,offstage,2672
audience,1,-1,-1,offstage,2688
audience,1,-1,-1,offstage,2704
audience,1,-1,-1,offstage,2720
audience,1,-1,-1,offstage,2736
audience,1,-1,-1,offstage,2752
audience,1,-1,-1,offstage,2768
audience,1,-1,-1,offstage,2784
audience,1,-1,-1,offstage,2800
audience,1,-1,-1,offstage,2816
audience,1,-1,-1,offstage,2832
audience,1,-1,-1,offstage,2848
audience,1,-1,-1,offstage,2864
audience,1,-1,-1,offstage,2880
audience,1,-1,-1,offstage,2896
audience,1,-1,-1,offstage,2912
audience,1,-1,-1,offstage,2928
audience,1,-1,-1,offstage,2944
audience,1,-1,-1,offstage,2960
audience,1,-1,-1,offstage,2976
audience,1,-1,-1,offstage,2992
audience,1,-1,-1,offstage,3008
audience,1,-1,-1,offstage,3024
audience,1,-1,-1,offstage,3040
audience,1,-1,-1,offstage,3056
audience,1,-1,-1,offstage,3072
audience,1,-1,-1,offstage,3088
audience,1,-1,-1,offstage,3104
audience,1,-1,-1,offstage,3120
audience,1,-1,-1,offstage,3136
audience,1,-1,-1,offstage,3152
audience,1,-1,-1,offstage,3168
audience,1,-1,-1,offstage,3184
audience,1,-1,-1,offstage,3200
audience,1,-1,-1,offstage,3216
audience,1,-1,-1,offstage,3232
audience,1,-1,-1,offstage,3248
audience,1,-1,-1,offstage,3264
audience,1,-1,-1,offstage,3280
audience,1,-1,-1,offstage,3296
audience,1,-1,-1,offstage,3312
audience,1,-1,-1,offstage,3328
audience,1,-1,-1,offstage,3344
audience,1,-1,-1,offstage,3360
audience,1,-1,-1,offstage,3376
audience,1,-1,-1,offstage,3392
audience,1,-1,-1,offstage,3408
audience,1,-1,-1,offstage,3424
audience,1,-1,-1,offstage,3440
audience,1,-1,-1,offstage,3456
audience,1,-1,-1,offstage,3472
audience,1,-1,-1,offstage,3488
audience,1,-1,-1,offstage,3504
audience,1,-1,-1,offstage,3520
audience,1,-1,-1,offstage,3536
audience,1,-1,-1,offstage,3552
audience,1,-1,-1,offstage,3568
audience,1,-1,-1,offstage,3584
audience,1,-1,-1,offstage,3600
audience,1,-1,-1,offstage,3616
audience,1,-1,-1,offstage,3632
audience,1,-1,-1,offstage,3648
audience,1,-1,-1,offstage,3664
audience,1,-1,-1,offstage,3680
audience,1,-1,-1,offstage,3696
audience,1,-1,-1,offstage,3712
audience,1,-1,-1,offstage,3728
audience,1,-1,-1,offstage,3744
audience,1,-1,-1,offstage,3760
audience,1,-1,-1,offstage,3776
audience,1,-1,-1,offstage,3792
audience,1,-1,-1,offstage,3808
audience,1,-1,-1,offstage,3824
audience,1,-1,-1,offstage,3840
audience,1,-1,-1,offstage,3856
audience,1,-1,-1,offstage,3872
audience,1,-1,-1,offstage,3888
audience,1,-1,-1,offstage,3904
audience,1,-1,-1,offstage,3920
audience,1,-1,-1,offstage,3936
audience,1,-1,-1,offstage,3952
audience,1,-1,-1,offstage,3968
audience,1,-1,-1,offstage,3984
audience,1,-1,-1,offstage,4000
audience,1,-1,-1,offstage,4016
audience,1,-1,-1,offstage,4032
audience,1,-1,-1,offstage,4048
audience,1,-1,-1,offstage,4064
audience,1,-1,-1,offstage,4080
audience,1,-1,-1,offstage,4096
audience,1,-1,-1,offstage,4112
audience,1,-1,-1,offstage,4128
audience,1,-1,-1,offstage,4144
audience,1,-1,-1,offstage,4160
audience,1,-1,-1,offstage,4176
audience,1,-1,-1,offstage,4192
audience,1,-1,-1,offstage,4208
audience,1,-1,-1,offstage,4224
audience,1,-1,-1,offstage,4240
audience,1,-1,-1,offstage,4256
audience,1,-1,-1,offstage,4272
audience,1,-1,-1,offstage,4288
audience,1,-1,-1,offstage,4304
audience,1,-1,-1,offstage,4320
audience,1,-1,-1,offstage,4336
audience,1,-1,-1,offstage,4352
audience,1,-1,-1,offstage,4368
audience,1,-1,-1,offstage,4384
audience,1,-1,-1,offstage,4400
audience,1,-1,-1,offstage,4416
audience,1,-1,-1,offstage,4432
audience,1,-1,-1,offstage,4448
audience,1,-1,-1,offstage,4464
audience,1,-1,-1,offstage,4480
audience,1,-1,-1,offstage,4496
audience,1,-1,-1,offstage,4514
audience,1,-1,-1,offstage,4528
audience,1,-1,-1,offstage,4544
audience,1,-1,-1,offstage,4560
audience,1,-1,-1,offstage,4576
audience,1,-1,-1,offstage,4592
audience,1,-1,-1,offstage,4608
audience,1,-1,-1,offstage,4624
audience,1,-1,-1,offstage,4640
audience,1,-1,-1,offstage,4656
audience,1,-1,-1,offstage,4672
audience,1,-1,-1,offstage,4688
audience,1,-1,-1,offstage,4704
audience,1,-1,-1,offstage,4720
audience,1,-1,-1,offstage,4736
audience,1,-1,-1,offstage,4752
audience,1,-1,-1,offstage,4768
audience,1,-1,-1,offstage,4784
audience,1,-1,-1,offstage,4800
audience,1,-1,-1,offstage,4816
audience,1,-1,-1,offstage,4832
audience,1,-1,-1,offstage,4848
audience,1,-1,-1,offstage,4864
audience,1,-1,-1,offstage,4880
audience,1,-1,-1,offstage,4896
audience,1,-1,-1,offstage,4912
audience,1,-1,-1,offstage,4928
audience,1,-1,-1,offstage,4944
audience,1,-1,-1,offstage,4960
audience,1,-1,-1,offstage,4976
audience,1,-1,-1,offstage,4992
audience,1,-1,-1,offstage,5008
audience,1,-1,-1,offstage,5024
audience,1,-1,-1,offstage,5040
audience,1,-1,-1,offstage,5056
audience,1,-1,-1,offstage,5072
audience,1,-1,-1,offstage,5088
audience,1,-1,-1,offstage,5104
audience,1,-1,-1,offstage,5120
audience,1,-1,-1,offstage,5136
audience,1,-1,-1,offstage,5152
audience,1,-1,-1,offstage,5168
audience,1,-1,-1,offstage,5184
audience,1,-1,-1,offstage,5200
audience,1,-1,-1,offstage,5216
audience,1,-1,-1,offstage,5232
audience,1,-1,-1,offstage,5248
audience,1,-1,-1,offstage,5264
audience,1,-1,-1,offstage,5280
audience,1,-1,-1,offstage,5296
audience,1,-1,-1,offstage,5312
audience,1,-1,-1,offstage,5328
audience,1,-1,-1,offstage,5344
audience,1,-1,-1,offstage,5360
audience,1,-1,-1,offstage,5376
audience,1,-1,-1,offstage,5392
audience,1,-1,-1,offstage,5408
audience,1,-1,-1,offstage,5424
audience,1,-1,-1,offstage,5440
audience,1,-1,-1,offstage,5456
audience,1,-1,-1,offstage,5472
audience,1,-1,-1,offstage,5488
audience,1,-1,-1,offstage,5504
audience,1,-1,-1,offstage,5520
audience,1,-1,-1,offstage,5536
audience,1,-1,-1,offstage,5552
audience,1,-1,-1,offstage,5568
audience,1,-1,-1,offstage,5584
audience,1,-1,-1,offstage,5600
audience,1,-1,-1,offstage,5616
audience,1,-1,-1,offstage,5632
audience,1,-1,-1,offstage,5648
audience,1,-1,-1,offstage,5664
audience,1,-1,-1,offstage,5680
audience,1,-1,-1,offstage,5696
audience,1,-1,-1,offstage,5712
audience,1,-1,-1,offstage,5728
audience,1,-1,-1,offstage,5744
audience,1,-1,-1,offstage,5760
audience,1,-1,-1,offstage,5776
audience,1,-1,-1,offstage,5792
audience,1,-1,-1,offstage,5808
audience,1,-1,-1,offstage,5824
audience,1,-1,-1,offstage,5840
audience,1,-1,-1,offstage,5856
audience,1,-1,-1,offstage,5872
audience,1,-1,-1,offstage,5888
audience,1,-1,-1,offstage,5904
audience,1,-1,-1,offstage,5920
audience,1,-1,-1,offstage,5936
audience,1,-1,-1,offstage,5952
audience,1,-1,-1,offstage,5968
audience,1,-1,-1,offstage,5984
audience,1,-1,-1,offstage,6000
audience,1,-1,-1,offstage,6016
audience,1,-1,-1,offstage,6032
audience,1,-1,-1,offstage,6048
audience,1,-1,-1,offstage,6064
audience,1,-1,-1,offstage,6080
audience,1,-1,-1,offstage,6096
audience,1,-1,-1,offstage,6112
audience,1,-1,-1,offstage,6128
audience,1,-1,-1,offstage,6144
audience,1,-1,-1,offstage,6160
audience,1,-1,-1,offstage,6176
audience,1,-1,-1,offstage,6192
audience,1,-1,-1,offstage,6208
audience,1,-1,-1,offstage,6224
audience,1,-1,-1,offstage,6240
audience,1,-1,-1,offstage,6256
audience,1,-1,-1,offstage,6272
audience,1,-1,-1,offstage,6288
audience,1,-1,-1,offstage,6304
audience,1,-1,-1,offstage,6320
audience,1,-1,-1,offstage,6336
audience,1,-1,-1,offstage,6352
audience,1,-1,-1,offstage,6368
audience,1,-1,-1,offstage,6384
audience,1,-1,-1,offstage,6400
audience,1,-1,-1,offstage,6416
audience,1,-1,-1,offstage,6432
audience,1,-1,-1,offstage,6448
audience,1,-1,-1,offstage,6464
audience,1,-1,-1,offstage,6480
audience,1,-1,-1,offstage,6496
audience,1,-1,-1,offstage,6512
audience,1,-1,-1,offstage,6528
audience,1,-1,-1,offstage,6544
audience,1,-1,-1,offstage,6560
audience,1,-1,-1,offstage,6576
audience,1,-1,-1,offstage,6592
audience,1,-1,-1,offstage,6608
audience,1,-1,-1,offstage,6634
audience,1,-1,-1,offstage,6640
audience,1,-1,-1,offstage,6656
audience,1,-1,-1,offstage,6672
audience,1,-1,-1,offstage,6688
audience,1,-1,-1,offstage,6704
audience,1,-1,-1,offstage,6720
audience,1,-1,-1,offstage,6736
audience,1,-1,-1,offstage,6752
audience,1,-1,-1,offstage,6768
audience,1,-1,-1,offstage,6784
audience,1,-1,-1,offstage,6800
audience,1,-1,-1,offstage,6816
audience,1,-1,-1,offstage,6832
audience,1,-1,-1,offstage,6848
audience,1,-1,-1,offstage,6864
audience,1,-1,-1,offstage,6880
audience,1,-1,-1,offstage,6896
audience,1,-1,-1,offstage,6912
audience,1,-1,-1,offstage,6928
audience,1,-1,-1,offstage,6944
audience,1,-1,-1,offstage,6960
audience,1,-1,-1,offstage,6976
audience,1,-1,-1,offstage,6992
audience,1,-1,-1,offstage,7008
audience,1,-1,-1,offstage,7024
audience,1,-1,-1,offstage,7040
audience,1,-1,-1,offstage,7056
audience,1,-1,-1,offstage,7072
audience,1,-1,-1,offstage,7088
audience,1,-1,-1,offstage,7104
audience,1,-1,-1,offstage,7120
audience,1,-1,-1,offstage,7136
audience,1,-1,-1,offstage,7152
audience,1,-1,-1,offstage,7168
audience,1,-1,-1,offstage,7184
audience,1,-1,-1,offstage,7200
audience,1,-1,-1,offstage,7216
audience,1,-1,-1,offstage,7232
audience,1,-1,-1,offstage,7248
audience,1,-1,-1,offstage,7264
audience,1,-1,-1,offstage,7280
audience,1,-1,-1,offstage,7296
audience,1,-1,-1,offstage,7312
audience,1,-1,-1,offstage,7328
audience,1,-1,-1,offstage,7344
audience,1,-1,-1,offstage,7360
audience,1,-1,-1,offstage,7376
audience,1,-1,-1,offstage,7392
audience,1,-1,-1,offstage,7408
audience,1,-1,-1,offstage,7424
audience,1,-1,-1,offstage,7440
audience,1,-1,-1,offstage,7456
audience,1,-1,-1,offstage,7472
audience,1,-1,-1,offstage,7488
audience,1,-1,-1,offstage,7504
audience,1,-1,-1,offstage,7520
audience,1,-1,-1,offstage,7536
audience,1,-1,-1,offstage,7552
audience,1,-1,-1,offstage,7568
audience,1,-1,-1,offstage,7584
audience,1,-1,-1,offstage,7600
audience,1,-1,-1,offstage,7616
audience,1,-1,-1,offstage,7632
audience,1,-1,-1,offstage,7648
audience,1,-1,-1,offstage,7664
audience,1,-1,-1,offstage,7680
audience,1,-1,-1,offstage,7696
audience,1,-1,-1,offstage,7712
audience,1,-1,-1,offstage,7728
audience,1,-1,-1,offstage,7744
audience,1,-1,-1,offstage,7760
audience,1,-1,-1,offstage,7776
audience,1,-1,-1,offstage,7792
audience,1,-1,-1,offstage,7808
audience,1,-1,-1,offstage,7824
audience,1,-1,-1,offstage,7840
audience,1,-1,-1,offstage,7856
audience,1,-1,-1,offstage,7872
audience,1,-1,-1,offstage,7888
